apoptotic process,GO:0006915
response to vitamin A,GO:0033189
response to xenobiotic stimulus,GO:0009410
synapse assembly,GO:0007416
brain morphogenesis,GO:0048854
cell-cell adhesion,GO:0098609
dendrite morphogenesis,GO:0048813
modification of postsynaptic actin cytoskeleton,GO:0098885
negative regulation of Arp2/3 complex-mediated actin nucleation,GO:0034316
prepulse inhibition,GO:0060134
radial glia guided migration of Purkinje cell,GO:0021942
regulation of neuron migration,GO:2001222
regulation of neuron projection development,GO:0010975
regulation of synapse structural plasticity,GO:0051823
actin cytoskeleton organization,GO:0030036
actin filament capping,GO:0051693
central nervous system development,GO:0007417
central nervous system formation,GO:0021556
Golgi to plasma membrane protein transport,GO:0043001
membrane assembly,GO:0071709
plasma membrane organization,GO:0007009
positive regulation of interleukin-2 production,GO:0032743
regulation of SMAD protein signal transduction,GO:0060390
endocytosis,GO:0006897
protein transport,GO:0015031
anterograde neuronal dense core vesicle transport,GO:1990048
axonal transport of mitochondrion,GO:0019896
positive regulation of insulin secretion involved in cellular response to glucose stimulus,GO:0035774
regulation of insulin secretion involved in cellular response to glucose stimulus,GO:0061178
regulation of synaptic activity,GO:0060025
negative regulation of hippo signaling,GO:0035331
regulation of cell morphogenesis,GO:0022604
antiviral innate immune response,GO:0140374
negative regulation of canonical NF-kappaB signal transduction,GO:0043124
positive regulation of autophagy,GO:0010508
protein deubiquitination,GO:0016579
protein K48-linked deubiquitination,GO:0071108
protein K63-linked deubiquitination,GO:0070536
proteolysis,GO:0006508
regulation of G protein-coupled receptor signaling pathway,GO:0008277
mesoderm formation,GO:0001707
positive regulation of Wnt signaling pathway,GO:0030177
post-translational protein targeting to endoplasmic reticulum membrane,GO:0006620
regulation of epithelial cell migration,GO:0010632
regulation of focal adhesion assembly,GO:0051893
regulation of neuron projection arborization,GO:0150011
Wnt signaling pathway,GO:0016055
wound healing,GO:0042060
actin filament bundle assembly,GO:0051017
barbed-end actin filament capping,GO:0051016
hemopoiesis,GO:0030097
leukocyte tethering or rolling,GO:0050901
protein-containing complex assembly,GO:0065003
regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane,GO:0099145
intracellular signal transduction,GO:0035556
lipid catabolic process,GO:0016042
phosphatidylinositol metabolic process,GO:0046488
phospholipase C-activating G protein-coupled receptor signaling pathway,GO:0007200
learning,GO:0007612
morphogenesis of a branching structure,GO:0001763
regulation of synaptic plasticity,GO:0048167
adult walking behavior,GO:0007628
DNA damage response,GO:0006974
negative regulation of tubulin deacetylation,GO:1904428
neuron migration,GO:0001764
regulation of autophagy,GO:0010506
regulation of cellular response to heat,GO:1900034
regulation of microtubule-based movement,GO:0060632
cartilage development involved in endochondral bone morphogenesis,GO:0060351
endochondral ossification,GO:0001958
limb morphogenesis,GO:0035108
multicellular organism growth,GO:0035264
positive regulation of TORC1 signaling,GO:1904263
positive regulation of TORC2 signaling,GO:1904515
protein phosphorylation,GO:0006468
skeletal system morphogenesis,GO:0048705
establishment of localization in cell,GO:0051649
intracellular iron ion homeostasis,GO:0006879
protein secretion,GO:0009306
protein targeting to vacuole,GO:0006623
vesicle-mediated transport,GO:0016192
exploration behavior,GO:0035640
long-term synaptic depression,GO:0060292
long-term synaptic potentiation,GO:0060291
memory,GO:0007613
"positive regulation of synaptic transmission, glutamatergic",GO:0051968
vocalization behavior,GO:0071625
cell surface receptor protein serine/threonine kinase signaling pathway,GO:0007178
MAPK cascade,GO:0000165
fatty acid elongation,GO:0030497
JNK cascade,GO:0007254
negative regulation of intracellular signal transduction,GO:1902532
positive regulation by virus of viral protein levels in host cell,GO:0046726
positive regulation of viral genome replication,GO:0045070
Rho protein signal transduction,GO:0007266
very long-chain fatty acid biosynthetic process,GO:0042761
dendritic spine development,GO:0060996
positive regulation of focal adhesion disassembly,GO:0120183
positive regulation of keratinocyte migration,GO:0051549
postsynaptic modulation of chemical synaptic transmission,GO:0099170
regulation of ARF protein signal transduction,GO:0032012
regulation of postsynaptic neurotransmitter receptor internalization,GO:0099149
hematopoietic progenitor cell differentiation,GO:0002244
lamellipodium assembly,GO:0030032
negative regulation of microtubule nucleation,GO:1905833
positive regulation of growth hormone secretion,GO:0060124
positive regulation of GTPase activity,GO:0043547
adherens junction organization,GO:0034332
cytokine-mediated signaling pathway,GO:0019221
forebrain development,GO:0030900
lateral ventricle development,GO:0021670
neuroblast division in subventricular zone,GO:0021849
neuroblast proliferation,GO:0007405
positive regulation of dendrite morphogenesis,GO:0050775
positive regulation of neurogenesis,GO:0050769
protein metabolic process,GO:0019538
basolateral protein secretion,GO:0110010
determination of left/right symmetry,GO:0007368
heart development,GO:0007507
intracellular protein transport,GO:0006886
kidney development,GO:0001822
melanosome assembly,GO:1903232
platelet dense granule organization,GO:0060155
calcium ion transmembrane transport,GO:0070588
calcium ion transport,GO:0006816
locomotory behavior,GO:0007626
neurotransmitter secretion,GO:0007269
regulation of blood pressure,GO:0008217
regulation of calcium ion transport,GO:0051924
regulation of heart contraction,GO:0008016
response to pain,GO:0048265
protein ubiquitination,GO:0016567
ubiquitin-dependent protein catabolic process,GO:0006511
cellular response to type II interferon,GO:0071346
Golgi ribbon formation,GO:0090161
"neurotransmitter receptor transport, endosome to postsynaptic membrane",GO:0098887
regulation of Golgi to plasma membrane protein transport,GO:0042996
regulation of synaptic vesicle endocytosis,GO:1900242
SNARE complex assembly,GO:0035493
synaptic vesicle to endosome fusion,GO:0016189
vesicle-mediated transport in synapse,GO:0099003
amygdala development,GO:0021764
branching morphogenesis of an epithelial tube,GO:0048754
chromatin remodeling,GO:0006338
"gamma-aminobutyric acid secretion, neurotransmission",GO:0061534
"glutamate secretion, neurotransmission",GO:0061535
negative regulation of cell proliferation involved in contact inhibition,GO:0060244
neuromuscular junction development,GO:0007528
observational learning,GO:0098597
positive regulation of cell migration,GO:0030335
positive regulation of intracellular estrogen receptor signaling pathway,GO:0033148
positive regulation of microtubule nucleation,GO:0090063
positive regulation of stress fiber assembly,GO:0051496
protein localization to cytoplasmic stress granule,GO:1903608
receptor clustering,GO:0043113
regulation of gene expression,GO:0010468
regulation of long-term synaptic potentiation,GO:1900271
regulation of MAPK cascade,GO:0043408
"regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission",GO:0150036
transmission of nerve impulse,GO:0019226
maintenance of blood-brain barrier,GO:0035633
membrane organization,GO:0061024
myelination,GO:0042552
negative regulation of heterotypic cell-cell adhesion,GO:0034115
positive regulation of chemokine (C-X-C motif) ligand 2 production,GO:2000343
positive regulation of interleukin-6 production,GO:0032755
response to toxic substance,GO:0009636
sensory perception of sound,GO:0007605
cell-substrate adhesion,GO:0031589
cellular response to ethanol,GO:0071361
cellular response to prostaglandin E stimulus,GO:0071380
chemosensory behavior,GO:0007635
insulin secretion,GO:0030073
lipopolysaccharide-mediated signaling pathway,GO:0031663
locomotory exploration behavior,GO:0035641
macrophage activation involved in immune response,GO:0002281
mucus secretion,GO:0070254
negative regulation of protein ubiquitination,GO:0031397
positive regulation of canonical NF-kappaB signal transduction,GO:0043123
positive regulation of cell-substrate adhesion,GO:0010811
positive regulation of cytokinesis,GO:0032467
positive regulation of fibroblast migration,GO:0010763
positive regulation of insulin secretion,GO:0032024
positive regulation of lipid catabolic process,GO:0050996
positive regulation of MAPK cascade,GO:0043410
positive regulation of mucus secretion,GO:0070257
"positive regulation of synaptic transmission, GABAergic",GO:0032230
positive regulation of wound healing,GO:0090303
regulation of lipid metabolic process,GO:0019216
regulation of release of sequestered calcium ion into cytosol,GO:0051279
response to morphine,GO:0043278
"synaptic transmission, GABAergic",GO:0051932
toxin catabolic process,GO:0009407
TRAM-dependent toll-like receptor 4 signaling pathway,GO:0035669
xenobiotic catabolic process,GO:0042178
actin crosslink formation,GO:0051764
mitochondrion organization,GO:0007005
neural tube development,GO:0021915
neurogenesis,GO:0022008
response to endoplasmic reticulum stress,GO:0034976
extracellular matrix assembly,GO:0085029
negative regulation of protein localization to cell surface,GO:2000009
negative regulation of serotonin uptake,GO:0051612
ossification,GO:0001503
positive regulation of bone mineralization,GO:0030501
regulation of actin cytoskeleton organization,GO:0032956
cell differentiation,GO:0030154
dense core granule cytoskeletal transport,GO:0099519
negative regulation of catecholamine secretion,GO:0033604
negative regulation of dense core granule exocytosis,GO:1905414
negative regulation of neurotransmitter secretion,GO:0046929
negative regulation of protein secretion,GO:0050709
negative regulation of retrograde trans-synaptic signaling by neuropeptide,GO:1905433
negative regulation of short-term neuronal synaptic plasticity,GO:0048174
negative regulation of synaptic vesicle exocytosis,GO:2000301
negative regulation of vesicle fusion,GO:0031339
positive regulation of dendrite extension,GO:1903861
positive regulation of dense core granule exocytosis,GO:1905415
positive regulation of glutamate secretion,GO:0014049
regulation of calcium ion-dependent exocytosis,GO:0017158
regulation of dopamine secretion,GO:0014059
regulation of postsynaptic dense core vesicle exocytosis,GO:0150044
"regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission",GO:0150035
regulation of vesicle fusion,GO:0031338
secretory granule maturation,GO:0061792
synaptic vesicle transport,GO:0048489
vesicle fusion with vesicle,GO:0061782
adaptive immune response,GO:0002250
negative regulation of bone resorption,GO:0045779
negative regulation of cell population proliferation,GO:0008285
negative regulation of ERK1 and ERK2 cascade,GO:0070373
negative regulation of Golgi to plasma membrane protein transport,GO:0042997
negative regulation of interleukin-6 production,GO:0032715
negative regulation of low-density lipoprotein particle clearance,GO:0010989
negative regulation of phagocytosis,GO:0050765
negative regulation of T cell activation,GO:0050868
negative regulation of T cell receptor signaling pathway,GO:0050860
oligodendrocyte differentiation,GO:0048709
regulation of Fc receptor mediated stimulatory signaling pathway,GO:0060368
blastocyst development,GO:0001824
bud elongation involved in lung branching,GO:0060449
canonical Wnt signaling pathway,GO:0060070
cardiac muscle tissue regeneration,GO:0061026
cell morphogenesis,GO:0000902
cell population proliferation,GO:0008283
cellular response to gamma radiation,GO:0071480
cellular response to retinoic acid,GO:0071300
embryonic heart tube morphogenesis,GO:0003143
enterocyte differentiation,GO:1903703
epithelial cell differentiation,GO:0030855
epithelial cell proliferation,GO:0050673
extrinsic apoptotic signaling pathway,GO:0097191
glandular epithelial cell differentiation,GO:0002067
heart process,GO:0003015
hippo signaling,GO:0035329
interleukin-6-mediated signaling pathway,GO:0070102
intestinal epithelial cell development,GO:0060576
intestinal epithelial cell differentiation,GO:0060575
keratinocyte differentiation,GO:0030216
lateral mesoderm development,GO:0048368
lung epithelial cell differentiation,GO:0060487
negative regulation of cilium assembly,GO:1902018
negative regulation of epithelial cell apoptotic process,GO:1904036
negative regulation of epithelial cell differentiation,GO:0030857
negative regulation of extrinsic apoptotic signaling pathway,GO:2001237
negative regulation of fat cell differentiation,GO:0045599
negative regulation of gene expression,GO:0010629
negative regulation of stem cell differentiation,GO:2000737
notochord development,GO:0030903
organ growth,GO:0035265
paraxial mesoderm development,GO:0048339
positive regulation of canonical Wnt signaling pathway,GO:0090263
positive regulation of cardiac muscle cell proliferation,GO:0060045
positive regulation of cell growth,GO:0030307
positive regulation of cell population proliferation,GO:0008284
positive regulation of DNA-templated transcription,GO:0045893
positive regulation of epithelial cell proliferation,GO:0050679
positive regulation of gene expression,GO:0010628
positive regulation of Notch signaling pathway,GO:0045747
positive regulation of organ growth,GO:0046622
positive regulation of osteoblast differentiation,GO:0045669
positive regulation of protein localization to nucleus,GO:1900182
positive regulation of stem cell population maintenance,GO:1902459
positive regulation of transcription by RNA polymerase II,GO:0045944
regulation of canonical Wnt signaling pathway,GO:0060828
regulation of cell population proliferation,GO:0042127
regulation of keratinocyte proliferation,GO:0010837
regulation of metanephric nephron tubule epithelial cell differentiation,GO:0072307
regulation of neurogenesis,GO:0050767
regulation of stem cell proliferation,GO:0072091
response to progesterone,GO:0032570
signal transduction in response to DNA damage,GO:0042770
somatic stem cell population maintenance,GO:0035019
tissue homeostasis,GO:0001894
trophectodermal cell differentiation,GO:0001829
vasculogenesis,GO:0001570
spontaneous neurotransmitter secretion,GO:0061669
synaptic vesicle priming,GO:0016082
adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO:0007188
glucose homeostasis,GO:0042593
regulation of presynaptic cytosolic calcium ion concentration,GO:0099509
retrograde trans-synaptic signaling by endocannabinoid,GO:0098921
branching involved in ureteric bud morphogenesis,GO:0001658
cell surface receptor protein tyrosine kinase signaling pathway,GO:0007169
commissural neuron axon guidance,GO:0071679
dorsal spinal cord development,GO:0021516
embryonic organ development,GO:0048568
enteric nervous system development,GO:0048484
glial cell-derived neurotrophic factor receptor signaling pathway,GO:0035860
mesenchymal to epithelial transition involved in metanephros morphogenesis,GO:0003337
metanephros development,GO:0001656
mRNA stabilization,GO:0048255
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,GO:2001240
negative regulation of neuron apoptotic process,GO:0043524
neural crest cell migration,GO:0001755
neural crest cell migration involved in autonomic nervous system development,GO:1901166
organ induction,GO:0001759
peripheral nervous system development,GO:0007422
peristalsis,GO:0030432
positive regulation of branching involved in ureteric bud morphogenesis,GO:0090190
positive regulation of cell differentiation,GO:0045597
positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,GO:0072108
positive regulation of ureteric bud formation,GO:0072107
postsynaptic membrane organization,GO:0001941
regulation of dopamine uptake involved in synaptic transmission,GO:0051584
regulation of morphogenesis of a branching structure,GO:0060688
regulation of semaphorin-plexin signaling pathway,GO:2001260
transforming growth factor beta receptor signaling pathway,GO:0007179
ureteric bud development,GO:0001657
ureteric bud formation,GO:0060676
cellular response to interleukin-7,GO:0098761
positive regulation of cell division,GO:0051781
regulation of modification of postsynaptic structure,GO:0099159
neuromuscular process,GO:0050905
regulation of potassium ion transmembrane transport,GO:1901379
regulation of protein localization to cell surface,GO:2000008
angiogenesis,GO:0001525
cellular response to glucose starvation,GO:0042149
ERK1 and ERK2 cascade,GO:0070371
establishment of Golgi localization,GO:0051683
Golgi reassembly,GO:0090168
lung development,GO:0030324
negative regulation of innate immune response,GO:0045824
negative regulation of protein localization to nucleus,GO:1900181
negative regulation of TORC1 signaling,GO:1904262
protein targeting,GO:0006605
regulation of ERK1 and ERK2 cascade,GO:0070372
regulation of programmed cell death,GO:0043067
respiratory system process,GO:0003016
signal transduction,GO:0007165
synaptic target recognition,GO:0008039
tube formation,GO:0035148
innervation,GO:0060384
learning or memory,GO:0007611
negative regulation of proteasomal protein catabolic process,GO:1901799
positive regulation of mismatch repair,GO:0032425
presynaptic modulation of chemical synaptic transmission,GO:0099171
regulation of circadian rhythm,GO:0042752
regulation of phagocytosis,GO:0050764
regulation of response to food,GO:0032095
regulation of synaptic vesicle exocytosis,GO:2000300
response to angiotensin,GO:1990776
response to psychosocial stress,GO:1990911
rhythmic process,GO:0048511
adenylate cyclase-activating G protein-coupled receptor signaling pathway,GO:0007189
maintenance of protein location in cell,GO:0032507
negative regulation of neuron projection development,GO:0010977
positive regulation of neuron projection development,GO:0010976
Ras protein signal transduction,GO:0007265
regulation of calcium-mediated signaling,GO:0050848
regulation of Cdc42 protein signal transduction,GO:0032489
behavioral fear response,GO:0001662
behavioral response to pain,GO:0048266
calcium ion transmembrane import into cytosol,GO:0097553
detection of mechanical stimulus involved in sensory perception of pain,GO:0050966
excitatory postsynaptic potential,GO:0060079
fear response,GO:0042596
in utero embryonic development,GO:0001701
ionotropic glutamate receptor signaling pathway,GO:0035235
monoatomic cation transmembrane transport,GO:0098655
monoatomic cation transport,GO:0006812
negative regulation of dendritic spine maintenance,GO:1902951
positive regulation of excitatory postsynaptic potential,GO:2000463
protein heterotetramerization,GO:0051290
regulation of cAMP/PKA signal transduction,GO:0141161
regulation of monoatomic cation transmembrane transport,GO:1904062
regulation of neuronal synaptic plasticity,GO:0048168
regulation of postsynaptic membrane potential,GO:0060078
response to ethanol,GO:0045471
sensory organ development,GO:0007423
startle response,GO:0001964
suckling behavior,GO:0001967
DNA repair,GO:0006281
regulation of G1/S transition of mitotic cell cycle,GO:2000045
transcription initiation at RNA polymerase II promoter,GO:0006367
hair follicle maturation,GO:0048820
meiotic cell cycle checkpoint signaling,GO:0033313
mRNA processing,GO:0006397
regulation of mRNA export from nucleus,GO:0010793
regulation of stem cell differentiation,GO:2000736
spermatid development,GO:0007286
tRNA methylation,GO:0030488
tRNA processing,GO:0008033
tRNA stabilization,GO:0036416
ERAD pathway,GO:0036503
negative regulation of skeletal muscle tissue development,GO:0048642
positive regulation of cell cycle process,GO:0090068
regulation of cellular response to hypoxia,GO:1900037
regulation of protein stability,GO:0031647
fertilization,GO:0009566
closure of optic fissure,GO:0061386
negative regulation of integrin-mediated signaling pathway,GO:2001045
neural tube closure,GO:0001843
positive regulation of catalytic activity,GO:0043085
regulation of cell cycle,GO:0051726
post-embryonic development,GO:0009791
protein glycosylation,GO:0006486
proton transmembrane transport,GO:1902600
pyramidal neuron development,GO:0021860
regulation of cellular pH,GO:0030641
regulation of pH,GO:0006885
regulation of short-term neuronal synaptic plasticity,GO:0048172
response to light stimulus,GO:0009416
visual perception,GO:0007601
G2/M transition of mitotic cell cycle,GO:0000086
positive regulation of mitotic cell cycle,GO:0045931
positive regulation of type I interferon production,GO:0032481
regulation of DNA repair,GO:0006282
regulation of RNA splicing,GO:0043484
regulation of transcription by RNA polymerase II,GO:0006357
adult locomotory behavior,GO:0008344
autophagy,GO:0006914
brain-derived neurotrophic factor receptor signaling pathway,GO:0031547
cellular response to osmotic stress,GO:0071470
erythrocyte differentiation,GO:0030218
flagellated sperm motility,GO:0030317
gene expression,GO:0010467
lipid transport,GO:0006869
lysosomal protein catabolic process,GO:1905146
microglia differentiation,GO:0014004
motor behavior,GO:0061744
neuroinflammatory response,GO:0150076
neuromuscular process controlling balance,GO:0050885
neuron projection arborization,GO:0140058
response to environmental enrichment,GO:0090648
sperm mitochondrion organization,GO:0030382
cytoskeleton-dependent intracellular transport,GO:0030705
maintenance of protein location in plasma membrane,GO:0072660
positive regulation of cilium assembly,GO:0045724
positive regulation of epidermal growth factor receptor signaling pathway,GO:0045742
positive regulation of protein localization to cilium,GO:1903566
small GTPase-mediated signal transduction,GO:0007264
TOR signaling,GO:0031929
negative regulation of actin filament polymerization,GO:0030837
spermatogenesis,GO:0007283
cardiac ventricle development,GO:0003231
heart trabecula morphogenesis,GO:0061384
myoblast migration,GO:0051451
negative regulation of striated muscle cell apoptotic process,GO:0010664
positive regulation of cell proliferation involved in heart morphogenesis,GO:2000138
positive regulation of skeletal muscle tissue growth,GO:0048633
regulation of skeletal muscle fiber development,GO:0048742
skeletal muscle tissue regeneration,GO:0043403
clathrin coat assembly,GO:0048268
clathrin-dependent endocytosis,GO:0072583
regulation of clathrin-dependent endocytosis,GO:2000369
cellular response to brain-derived neurotrophic factor stimulus,GO:1990416
dendrite extension,GO:0097484
negative regulation of blood-brain barrier permeability,GO:1905604
negative regulation of epidermal growth factor receptor signaling pathway,GO:0042059
negative regulation of MAPK cascade,GO:0043409
postsynaptic actin cytoskeleton organization,GO:0098974
regulation of receptor internalization,GO:0002090
regulation of translational initiation,GO:0006446
animal organ morphogenesis,GO:0009887
Bergmann glial cell differentiation,GO:0060020
BMP signaling pathway,GO:0030509
cardiac neural crest cell development involved in heart development,GO:0061308
cartilage development,GO:0051216
caveolin-mediated endocytosis,GO:0072584
cellular response to amino acid starvation,GO:0034198
cellular response to mechanical stimulus,GO:0071260
cellular response to tumor necrosis factor,GO:0071356
DNA-templated transcription,GO:0006351
epidermal growth factor receptor signaling pathway,GO:0007173
ERBB2-ERBB3 signaling pathway,GO:0038133
face development,GO:0060324
insulin-like growth factor receptor signaling pathway,GO:0048009
interleukin-1-mediated signaling pathway,GO:0070498
interleukin-34-mediated signaling pathway,GO:0061514
lung morphogenesis,GO:0060425
negative regulation of cholesterol efflux,GO:0090370
neural crest cell development,GO:0014032
outer ear morphogenesis,GO:0042473
positive regulation of ERK1 and ERK2 cascade,GO:0070374
positive regulation of macrophage chemotaxis,GO:0010759
positive regulation of macrophage proliferation,GO:0120041
positive regulation of telomere maintenance,GO:0032206
positive regulation of xenophagy,GO:1904417
regulation of cytoskeleton organization,GO:0051493
